variant_name,layer_index,probe_name,group_type,group_name,run_count,example_count_mean,example_count_std,test_accuracy_mean,test_accuracy_std,test_accuracy_polarity_invariant_mean,test_accuracy_polarity_invariant_std
pretrained,3,exact,template_id,mixed_ab_inverse_reverse,5,24,0.0,0.49166666666666664,0.0994778032192777,0.5750000000000001,0.0543266867100221
pretrained,3,exact,template_id,mixed_bc_inverse,5,24,0.0,0.6416666666666667,0.08640183897219884,0.6416666666666667,0.08640183897219884
pretrained,3,exact,template_id,passive_forward,5,24,0.0,0.6666666666666666,0.1640418307085794,0.6666666666666666,0.1640418307085794
pretrained,3,pairwise,template_family_id,above,5,24,0.0,0.7416666666666667,0.05432668671002207,0.7416666666666667,0.05432668671002207
pretrained,3,pairwise,template_family_id,active,5,24,0.0,0.7583333333333333,0.08014743359029727,0.7583333333333333,0.08014743359029727
pretrained,3,pairwise,template_family_id,below,5,24,0.0,0.44166666666666665,0.14006446928309677,0.6083333333333334,0.09592387027684447
pretrained,3,pairwise,template_family_id,mixed_ab_inverse,5,24,0.0,0.39166666666666666,0.06972166887783963,0.6083333333333334,0.06972166887783966
pretrained,3,pairwise,template_family_id,mixed_bc_inverse,5,24,0.0,0.5083333333333333,0.074535599249993,0.5583333333333333,0.03726779962499649
pretrained,3,pairwise,template_family_id,passive,5,24,0.0,0.5416666666666666,0.13819269959814165,0.625,0.04166666666666666
pretrained,3,pairwise,template_id,above_reverse,5,24,0.0,0.7416666666666667,0.05432668671002207,0.7416666666666667,0.05432668671002207
pretrained,3,pairwise,template_id,active_reverse,5,24,0.0,0.7583333333333333,0.08014743359029727,0.7583333333333333,0.08014743359029727
pretrained,3,pairwise,template_id,below_forward,5,24,0.0,0.44166666666666665,0.14006446928309677,0.6083333333333334,0.09592387027684447
pretrained,3,pairwise,template_id,mixed_ab_inverse_reverse,5,24,0.0,0.39166666666666666,0.06972166887783963,0.6083333333333334,0.06972166887783966
pretrained,3,pairwise,template_id,mixed_bc_inverse,5,24,0.0,0.5083333333333333,0.074535599249993,0.5583333333333333,0.03726779962499649
pretrained,3,pairwise,template_id,passive_forward,5,24,0.0,0.5416666666666666,0.13819269959814165,0.625,0.04166666666666666
pretrained,3,query_only,template_family_id,above,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,3,query_only,template_family_id,active,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,3,query_only,template_family_id,below,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,3,query_only,template_family_id,mixed_ab_inverse,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,3,query_only,template_family_id,mixed_bc_inverse,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,3,query_only,template_family_id,passive,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,3,query_only,template_id,above_reverse,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,3,query_only,template_id,active_reverse,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,3,query_only,template_id,below_forward,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,3,query_only,template_id,mixed_ab_inverse_reverse,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,3,query_only,template_id,mixed_bc_inverse,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,3,query_only,template_id,passive_forward,5,24,0.0,0.5,0.0,0.5,0.0
pretrained,3,triadic,template_family_id,above,5,24,0.0,0.6,0.05590169943749474,0.6,0.05590169943749474
