variant_name,layer_index,probe_name,rank,num_parameters_mean,num_parameters_std,run_count,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,test_accuracy_polarity_invariant_mean,test_accuracy_polarity_invariant_std
random_control,2,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
random_control,2,triadic,75,403502,0.0,5,0.9666666666666667,0.008014743359029741,0.40555555555555556,0.028036985053036607,0.5944444444444444,0.028036985053036607
random_control,3,exact,64,49282,0.0,5,0.667,0.014013882006385278,0.48333333333333334,0.03167153958608714,0.5222222222222221,0.027074428735580455
random_control,3,pairwise,64,401730,0.0,5,0.9665,0.030330356996836613,0.4236111111111111,0.03366444345428007,0.576388888888889,0.03366444345428008
random_control,3,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
random_control,3,triadic,75,403502,0.0,5,0.983,0.001918477405536876,0.4,0.05503225765599709,0.6,0.05503225765599708
random_control,4,exact,64,49282,0.0,5,0.6746666666666666,0.01965501067016863,0.4652777777777778,0.02820846668276375,0.5347222222222222,0.02820846668276376
random_control,4,pairwise,64,401730,0.0,5,0.9916666666666667,0.004124789556921505,0.4083333333333333,0.05297841978544625,0.5916666666666667,0.05297841978544625
random_control,4,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
random_control,4,triadic,75,403502,0.0,5,0.9826666666666667,0.003084459253886936,0.44027777777777777,0.02626065333498477,0.5597222222222222,0.026260653334984747
random_control,5,exact,64,49282,0.0,5,0.6866666666666666,0.01653069535406447,0.4722222222222222,0.036416973894796936,0.5277777777777778,0.03641697389479694
random_control,5,pairwise,64,401730,0.0,5,0.9946666666666667,0.007397447007057397,0.4166666666666667,0.04078937543219002,0.5833333333333334,0.040789375432190036
random_control,5,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
random_control,5,triadic,75,403502,0.0,5,0.994,0.006219369385681774,0.44305555555555554,0.05320550363716096,0.5625,0.04473645391224002
random_control,6,exact,64,49282,0.0,5,0.6911666666666667,0.017446346322367932,0.45555555555555555,0.011620278146306609,0.5444444444444445,0.01162027814630661
random_control,6,pairwise,64,401730,0.0,5,1.0,0.0,0.425,0.035883363007677256,0.5750000000000001,0.03588336300767727
random_control,6,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
random_control,6,triadic,75,403502,0.0,5,0.999,0.0022360679774997916,0.41527777777777775,0.035883363007677256,0.5847222222222223,0.03588336300767727
random_control,7,exact,64,49282,0.0,5,0.709,0.013273302360586643,0.4527777777777778,0.030822695862739093,0.5472222222222222,0.030822695862739103
random_control,7,pairwise,64,401730,0.0,5,0.9993333333333333,0.0014907119849998445,0.4027777777777778,0.024552318791199578,0.5972222222222222,0.02455231879119959
random_control,7,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
random_control,7,triadic,75,403502,0.0,5,0.9951666666666666,0.007369230323144731,0.4166666666666667,0.03707318837510873,0.5833333333333333,0.03707318837510871
random_control,8,exact,64,49282,0.0,5,0.7181666666666666,0.008445084040105499,0.4666666666666667,0.03971105126526611,0.5444444444444444,0.022287231299835036
random_control,8,pairwise,64,401730,0.0,5,0.999,0.0022360679774997916,0.41250000000000003,0.04516559039308084,0.5875,0.04516559039308086
random_control,8,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
random_control,8,triadic,75,403502,0.0,5,0.9968333333333333,0.005082650227325654,0.3902777777777778,0.04430316085482384,0.6097222222222222,0.044303160854823796
random_control,9,exact,64,49282,0.0,5,0.7371666666666666,0.016421107690341035,0.46805555555555556,0.037909289066544935,0.5375,0.030900827029565262
random_control,9,pairwise,64,401730,0.0,5,0.9996666666666667,0.0007453559924999471,0.40555555555555556,0.02846375212766555,0.5944444444444444,0.028463752127665568
random_control,9,query_only,64,642,0.0,5,0.5,0.0,0.5,0.0,0.5,0.0
random_control,9,triadic,75,403502,0.0,5,1.0,0.0,0.3972222222222222,0.045906927447328924,0.6027777777777777,0.045906927447328896
random_control,10,exact,64,49282,0.0,5,0.7596666666666667,0.02452747892104329,0.48055555555555557,0.05607397010607321,0.5416666666666666,0.038036288715636545
